,song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,semi_final,semi_draw_position,final_draw_position,country,language,style,direct_qualifier_10,gender,main_singers,age,selection,key_change_10,backing_dancers,backing_singers,backing_instruments,instrument_10,qualified_10,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,final_place,final_total_points,semi_place,semi_televote_points,semi_jury_points,semi_total_points,favourite_10,race,host_10
84,El Diablo,La Santa Grifa,0.89,0.619,7,-4.364,1,0.411,0.167,0.0,0.186,0.725,126.506,2021,1,8,1,Cyprus,English,Pop,0,Female,1,unknown,unknown,unknown,4,0,0,0,1,44.0,50.0,7.0,11.0,16.0,94.0,6.0,78.0,92.0,170.0,0,unknown,0
85,Fallen Angel,Mass of Man,0.804,0.482,9,-10.376,1,0.282,0.253,0.0,0.107,0.194,119.887,2021,1,9,22,Norway,English,Pop,0,Male,1,unknown,unknown,unknown,4,0,0,0,1,60.0,15.0,16.0,5.0,18.0,75.0,10.0,77.0,38.0,115.0,0,unknown,0
86,Tick-Tock,Hans Zimmer,0.261,0.231,9,-15.826,0,0.0388,0.271,0.9,0.239,0.0396,119.89,2021,1,10,-,Croatia,"English,ï¿½Croatian",Pop,-,Female,1,unknown,unknown,unknown,4,0,0,0,0,,,,,,,11.0,53.0,57.0,110.0,0,unknown,0
87,The Wrong Place,Hooverphonic,0.491,0.728,5,-4.482,1,0.0428,0.0479,1.38e-06,0.16,0.246,80.239,2021,1,11,4,Belgium,English,Ballad,0,Female,1,unknown,unknown,unknown,0,1,3,0,1,3.0,71.0,2.0,17.0,19.0,74.0,9.0,47.0,70.0,117.0,0,unknown,0
88,Set Me Free,Jimin,0.585,0.815,0,-4.165,0,0.0565,0.115,0.0,0.124,0.564,132.09,2021,1,12,3,Israel,English,Pop,0,Female,1,unknown,unknown,unknown,4,0,0,0,1,20.0,73.0,4.0,17.0,17.0,93.0,5.0,93.0,99.0,192.0,0,unknown,0
89,Amnesia,La Santa Grifa,0.818,0.638,11,-6.926,0,0.225,0.00673,0.0,0.495,0.783,112.753,2021,1,13,-,Romania,English,Ballad,-,Female,1,unknown,unknown,unknown,5,0,0,0,0,,,,,,,12.0,27.0,58.0,85.0,0,unknown,0
90,Mata Hari,Intervals,0.499,0.966,1,-4.841,1,0.107,2.58e-06,0.794,0.15,0.523,114.967,2021,1,14,21,Azerbaijan,English,Pop,0,Female,1,unknown,unknown,unknown,4,0,0,0,1,33.0,32.0,12.0,9.0,20.0,65.0,8.0,91.0,47.0,138.0,0,unknown,0
91,Shum,Go_A,0.527,0.736,4,-5.341,1,0.0638,0.05,7.89e-05,0.105,0.503,117.657,2021,1,15,19,Ukraine,Ukrainian,Traditional,0,Female,1,unknown,unknown,unknown,2,0,3,0,1,267.0,97.0,38.0,19.0,5.0,364.0,2.0,164.0,103.0,267.0,0,unknown,0
92,Je me casse,Destiny,0.763,0.87,8,-4.493,0,0.107,0.148,0.0,0.277,0.783,111.988,2021,1,16,6,Malta,English,Pop,0,Female,1,unknown,unknown,unknown,4,0,0,0,1,47.0,208.0,15.0,35.0,7.0,255.0,1.0,151.0,174.0,325.0,1,unknown,0
93,Adrenalina,"Natanael Cano, Dan Sanchez",0.733,0.455,8,-9.338,1,0.0385,0.00985,0.0,0.199,0.417,136.472,2021,2,1,-,San Marino,English,Dance,-,Mix,2,unknown,unknown,unknown,4,0,0,0,1,13.0,37.0,3.0,7.0,,,9.0,42.0,76.0,118.0,0,unknown,0
94,The Lucky One,Taylor Swift,0.686,0.571,4,-7.138,1,0.05,0.066,0.0,0.0608,0.538,117.889,2021,2,2,-,Estonia,English,Ballad,-,Male,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,13.0,29.0,29.0,58.0,0,unknown,0
95,Omaga,Benny Cristo,0.717,0.872,6,-5.647,1,0.033,0.109,0.00156,0.344,0.886,122.012,2021,2,3,-,Czech Republic,English,Ballad,-,Male,1,unknown,unknown,unknown,4,0,0,0,0,,,,,,,15.0,0.0,23.0,23.0,0,unknown,0
96,Last Dance,Donna Summer,0.605,0.612,3,-13.399,1,0.0439,0.121,0.00236,0.22,0.5,125.37,2021,2,4,10,Greece,English,Pop,0,Female,1,unknown,unknown,unknown,4,0,0,0,1,79.0,91.0,11.0,15.0,10.0,170.0,6.0,80.0,104.0,184.0,0,unknown,0
97,Amen,for KING & COUNTRY,0.64,0.469,7,-8.718,1,0.0412,0.00758,0.000453,0.0711,0.305,90.001,2021,2,5,-,Austria,English,Ballad,-,Male,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,12.0,13.0,53.0,66.0,0,unknown,0
98,The Ride,David Allan Coe,0.668,0.429,5,-12.365,1,0.0464,0.241,0.0,0.129,0.531,83.504,2021,2,6,-,Poland,English,Pop,-,Male,1,unknown,unknown,unknown,4,0,0,0,0,,,,,,,14.0,17.0,18.0,35.0,0,unknown,0
99,Sugar,ElyOtto,0.748,0.734,0,-6.499,1,0.124,0.524,1.15e-05,0.0975,0.368,97.753,2021,2,7,14,Moldova,English,Pop,0,Female,1,unknown,unknown,unknown,4,0,0,0,1,62.0,53.0,11.0,6.0,13.0,115.0,7.0,123.0,56.0,179.0,0,unknown,0
100,10 Years,Nico Ducarme,0.644,0.334,10,-10.053,1,0.0652,0.616,0.00105,0.205,0.309,117.93,2021,2,8,-,Iceland,English,Pop,-,Male,1,unknown,unknown,unknown,0,2,3,0,1,180.0,198.0,29.0,28.0,,,2.0,148.0,140.0,288.0,0,unknown,0
101,Loco Loco,Dionis Fernandez,0.592,0.549,8,-14.666,1,0.0396,0.206,3.31e-05,0.0313,0.887,111.245,2021,2,9,8,Serbia,Serbian,Pop,0,Female,3,unknown,unknown,unknown,0,0,0,0,1,82.0,20.0,12.0,3.0,15.0,102.0,8.0,68.0,56.0,124.0,0,unknown,0
102,You,Taylor Swift,0.687,0.783,6,-4.44,1,0.0386,0.162,1.35e-05,0.114,0.443,129.964,2021,2,10,-,Georgia,English,Ballad,-,Male,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,16.0,15.0,1.0,16.0,0,unknown,0
103,Karma,Taylor Swift,0.642,0.62,8,-7.091,1,0.0666,0.0734,0.0,0.483,0.0969,90.02,2021,2,11,2,Albania,Albanian,Ballad,0,Female,1,unknown,unknown,unknown,0,0,0,0,1,35.0,22.0,5.0,4.0,21.0,57.0,10.0,38.0,74.0,112.0,0,unknown,0
104,Love Is on My Side,Brandy,0.489,0.512,0,-7.704,1,0.0323,0.374,4.49e-06,0.0666,0.158,127.893,2021,2,12,7,Portugal,English,Traditional,0,Male,1,unknown,unknown,unknown,0,0,4,0,1,27.0,126.0,6.0,22.0,12.0,153.0,4.0,111.0,128.0,239.0,0,unknown,0
105,Growing Up Is Getting Old,Jason Michael Carroll,0.543,0.803,7,-4.504,1,0.0379,0.0533,0.0,0.302,0.668,145.986,2021,2,13,17,Bulgaria,English,Ballad,0,Female,1,unknown,unknown,unknown,0,0,0,0,1,30.0,140.0,5.0,26.0,11.0,170.0,3.0,101.0,149.0,250.0,0,unknown,0
106,Dark Side,XAN$X,0.731,0.509,7,-7.818,1,0.0457,0.559,0.663,0.111,0.963,120.047,2021,2,14,16,Finland,English,Rock,0,Male,2,unknown,unknown,unknown,0,1,3,0,1,218.0,83.0,37.0,19.0,6.0,301.0,5.0,150.0,84.0,234.0,0,unknown,0
107,The Moon Is Rising,"Arthur ""Big Boy"" Crudup",0.71,0.0461,5,-16.674,0,0.0459,0.708,0.0,0.109,0.5,73.515,2021,2,15,-,Latvia,English,Ballad,-,Female,1,unknown,unknown,unknown,3,0,0,0,0,,,,,,,17.0,10.0,4.0,14.0,0,unknown,0
108,Tout l'univers,Gjon's Tears,0.532,0.363,9,-9.131,0,0.0317,0.824,5.08e-06,0.107,0.183,123.472,2021,2,16,11,Switzerland,French,Ballad,0,Male,1,unknown,unknown,unknown,0,0,0,0,1,165.0,267.0,34.0,34.0,3.0,432.0,1.0,135.0,156.0,291.0,0,unknown,0
109,Ove os pa hinanden,Fyr Og Flamme,0.678,0.867,0,-5.85,1,0.0268,0.0128,3.19e-05,0.344,0.961,124.001,2021,2,17,-,Denmark,Danish,Pop,-,Male,2,unknown,unknown,unknown,0,3,0,1,0,,,,,,,11.0,80.0,9.0,89.0,0,unknown,0
110,Birth of a New Age,Jeangu Macrooy,0.718,0.718,0,-4.969,0,0.0609,0.479,8.8e-06,0.234,0.539,95.039,2021,-,-,23,Netherlands,"English,ï¿½Sranan Tongo",Ballad,1,Male,1,unknown,unknown,unknown,1,2,0,0,-,0.0,11.0,0.0,5.0,11.0,23.0,,,,,0,unknown,1
111,Voy a quedarme,Leroy Sanchez,0.576,0.186,3,-8.765,1,0.0348,0.886,0.0,0.0947,0.376,72.953,2021,-,-,13,Spain,Spanish,Ballad,1,Male,1,unknown,unknown,unknown,0,0,0,0,-,0.0,6.0,0.0,2.0,24.0,6.0,,,,,0,unknown,0
112,Embers,Isho Era,0.589,0.479,6,-12.795,0,0.139,0.129,0.0,0.203,0.857,79.574,2021,-,-,9,United Kingdom,English,Pop,1,Male,1,unknown,unknown,unknown,0,0,4,0,-,0.0,0.0,0.0,0.0,26.0,0.0,,,,,0,unknown,0
113,I Don't Feel Hate,Jendrik,0.827,0.837,5,-5.322,0,0.214,0.19,9.72e-06,0.0346,0.752,113.889,2021,-,-,15,Germany,English,Pop,1,Male,1,unknown,unknown,unknown,1,0,3,0,-,0.0,3.0,0.0,2.0,25.0,3.0,,,,,0,unknown,0
114,Voila,Barbara Pravi,0.447,0.337,2,-8.665,0,0.0631,0.773,0.0,0.298,0.603,135.379,2021,-,-,20,France,French,Ballad,1,Female,1,unknown,unknown,unknown,0,0,0,0,-,251.0,248.0,38.0,33.0,2.0,499.0,,,,,0,unknown,0
115,Zitti e buoni,Måneskin,0.625,0.939,4,-3.115,0,0.0669,0.00138,0.0,0.424,0.644,102.999,2021,-,-,24,Italy,Italian,Rock,1,Male,1,unknown,unknown,unknown,0,0,3,0,-,318.0,206.0,38.0,28.0,1.0,524.0,,,,,0,unknown,0
116,Replay,Iyaz,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,2019,1,1,11,Cyprus,English,Dance,0,Female,1,unknown,unknown,unknown,4,0,0,0,1,32.0,77.0,4.0,15.0,13.0,109.0,9.0,54.0,95.0,149.0,0,unknown,0
117,Heaven,Michael Jackson,0.706,0.685,11,-3.669,1,0.0837,0.56,0.0,0.22,0.444,117.448,2019,1,2,-,Montenegro,English,Pop,-,Mix,6,unknown,unknown,unknown,0,0,0,0,0,,,,,,,16.0,15.0,31.0,46.0,0,unknown,0
118,Look Away,Geek Music,0.7,0.731,6,-10.063,0,0.0924,0.613,0.0,0.24,0.722,135.884,2019,1,3,-,Finland,English,Dance,-,Male,1,unknown,unknown,unknown,1,0,1,0,0,,,,,,,17.0,14.0,9.0,23.0,0,unknown,0
119,Fire of Love,Jesse Jo Stark,0.356,0.816,7,-3.464,1,0.039,0.00719,0.00103,0.757,0.527,174.131,2019,1,4,-,Poland,"Polish, English",Traditional,-,Female,4,unknown,unknown,unknown,0,0,0,0,0,,,,,,,11.0,60.0,60.0,120.0,0,unknown,0
120,Sebi,"Justin Hurwitz, Justin Paul, Benj Pasek",0.476,0.192,9,-15.753,1,0.064,0.976,0.928,0.119,0.114,116.542,2019,1,5,10,Slovenia,Slovene,Ballad,0,Mix,2,unknown,unknown,unknown,0,0,0,1,1,59.0,46.0,13.0,9.0,15.0,105.0,6.0,93.0,74.0,167.0,0,unknown,0
121,Friend of a Friend,The Smile,0.383,0.312,10,-12.037,1,0.0324,0.567,0.796,0.107,0.26,123.446,2019,1,6,3,Czech Republic,English,Pop,0,Male,1,unknown,unknown,unknown,0,0,2,0,1,7.0,150.0,4.0,26.0,11.0,157.0,2.0,85.0,157.0,242.0,0,unknown,0
122,Az en apam,Kárpátia,0.759,0.82,4,-7.315,0,0.0299,0.327,1.33e-06,0.295,0.967,109.993,2019,1,7,-,Hungary,Hungarian,Ballad,-,Male,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,12.0,32.0,65.0,97.0,0,unknown,0
123,Like It,Diana and Roma,0.979,0.538,6,-6.743,1,0.0798,0.017,0.00219,0.0438,0.789,120.052,2019,1,8,19,Belarus,English,Dance,0,Female,1,unknown,unknown,unknown,2,2,0,0,1,13.0,18.0,2.0,5.0,24.0,31.0,10.0,44.0,78.0,122.0,0,unknown,0
124,Kruna,Nevena Božović,0.2,0.476,8,-6.411,0,0.0305,0.215,0.0,0.126,0.162,158.494,2019,1,9,23,Serbia,Serbian,Ballad,0,Female,1,unknown,unknown,unknown,0,0,0,0,1,54.0,35.0,7.0,8.0,18.0,89.0,7.0,65.0,91.0,156.0,0,unknown,0
125,Wake Up,MoonDeity,0.676,0.617,0,-4.626,1,0.0414,0.000816,0.636,0.227,0.718,124.978,2019,1,10,-,Belgium,English,Ballad,-,Male,1,unknown,unknown,unknown,0,0,2,0,0,,,,,,,13.0,20.0,50.0,70.0,0,unknown,0
126,Keep on Going,Fleetwood Mac,0.598,0.496,1,-15.915,0,0.0308,0.308,0.00119,0.0655,0.916,106.631,2019,1,11,-,Georgia,Georgian,Traditional,-,Male,1,unknown,unknown,unknown,0,5,0,0,0,,,,,,,14.0,33.0,29.0,62.0,0,unknown,0
127,Zero Gravity,"Rippling, CONNXCT, William Cas",0.191,0.0629,4,-24.437,0,0.0462,0.947,0.877,0.101,0.0547,219.483,2019,1,12,25,Australia,English,Opera,0,Female,1,unknown,unknown,unknown,2,0,0,0,1,131.0,153.0,30.0,24.0,9.0,284.0,1.0,140.0,121.0,261.0,0,unknown,0
128,Hatrio mun sigra,Various Artists,0.569,0.672,4,-9.721,0,0.0756,0.000804,1.46e-05,0.0902,0.483,109.925,2019,1,13,17,Iceland,Icelandic,Dance,0,Mix,2,unknown,unknown,unknown,4,0,0,0,1,186.0,46.0,34.0,9.0,10.0,232.0,3.0,151.0,70.0,221.0,0,unknown,0
129,Storm,"Jorge Rivera-Herrans, Cast of EPIC: The Musical",0.277,0.657,6,-6.687,0,0.0626,0.234,0.0,0.106,0.324,165.02,2019,1,14,18,Estonia,English,Pop,0,Male,1,unknown,unknown,unknown,0,0,0,1,1,48.0,28.0,10.0,7.0,20.0,76.0,4.0,133.0,65.0,198.0,0,unknown,0
130,TelemOveis,CONAN OSIRIS,0.714,0.365,7,-11.524,1,0.055,0.622,0.0319,0.0803,0.239,123.086,2019,1,15,-,Portugal,Portuguese,Traditional,-,Male,1,unknown,unknown,unknown,1,0,0,0,0,,,,,,,15.0,43.0,8.0,51.0,0,unknown,0
131,Better Love,Hozier,0.389,0.802,0,-3.438,1,0.0616,0.0307,2.63e-06,0.0862,0.4,126.748,2019,1,16,13,Greece,English,Pop,0,Female,1,unknown,unknown,unknown,2,3,0,0,1,24.0,50.0,3.0,8.0,21.0,74.0,5.0,54.0,131.0,185.0,0,unknown,0
132,Say Na Na Na,Serhat,0.676,0.922,1,-4.754,0,0.0763,0.000571,0.000153,0.361,0.742,118.032,2019,1,17,7,San Marino,English,Dance,0,Male,1,unknown,unknown,unknown,0,5,0,0,1,65.0,12.0,11.0,3.0,19.0,77.0,8.0,124.0,26.0,150.0,0,unknown,0
133,Walking Out,The Nerves,0.291,0.913,9,-6.368,1,0.0583,0.113,0.00221,0.341,0.683,173.387,2019,2,1,-,Armenia,English,Pop,-,Female,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,16.0,23.0,26.0,49.0,0,unknown,0
134,22,Taylor Swift,0.642,0.695,7,-5.62,1,0.0281,0.000443,1.02e-05,0.0753,0.642,103.984,2019,2,2,-,Ireland,English,Pop,-,Female,1,unknown,unknown,unknown,2,0,0,0,0,,,,,,,18.0,3.0,13.0,16.0,0,unknown,0
135,Stay,Various Artists,0.382,0.836,9,-5.661,0,0.403,0.0725,0.0,0.23,0.444,201.776,2019,2,3,-,Moldova,English,Ballad,-,Female,1,unknown,unknown,unknown,1,0,0,0,0,,,,,,,12.0,27.0,58.0,85.0,0,unknown,0
136,She Got Me,"Harnoor & Gifty, Harnoor",0.71,0.468,11,-9.261,0,0.0398,0.181,0.0,0.292,0.217,90.006,2019,2,4,24,Switzerland,English,Dance,0,Male,1,unknown,unknown,unknown,4,0,0,0,1,212.0,152.0,38.0,28.0,4.0,364.0,4.0,137.0,95.0,232.0,0,unknown,0
137,That Night,Lucia Zambetti,0.692,0.578,1,-7.866,1,0.0278,0.397,3.3e-05,0.0961,0.698,135.023,2019,2,5,-,Latvia,English,Pop,-,Female,1,unknown,unknown,unknown,0,0,3,0,0,,,,,,,15.0,13.0,37.0,50.0,0,unknown,0
138,On a Sunday,Latino Velvet,0.784,0.765,1,-3.545,1,0.212,0.095,0.0,0.182,0.845,94.812,2019,2,6,-,Romania,English,Pop,-,Female,1,unknown,unknown,unknown,2,2,1,0,0,,,,,,,13.0,24.0,47.0,71.0,0,unknown,0
139,Love Is Forever,Tommy february6,0.553,0.977,2,-3.731,1,0.0296,0.000174,0.933,0.328,0.97,120.03,2019,2,7,6,Denmark,"English,ï¿½French",Pop,0,Female,1,unknown,unknown,unknown,2,2,0,0,1,51.0,69.0,13.0,16.0,12.0,120.0,10.0,41.0,53.0,94.0,0,unknown,0
140,Too Late for Love,Def Leppard,0.536,0.812,4,-7.379,0,0.0441,0.00306,0.000455,0.116,0.338,94.677,2019,2,8,9,Sweden,English,Ballad,0,Male,1,unknown,unknown,unknown,0,4,0,0,1,93.0,241.0,17.0,32.0,5.0,334.0,3.0,88.0,150.0,238.0,0,unknown,0
141,Limits,Bad Omens,0.312,0.968,5,-3.316,1,0.418,0.000305,4.37e-05,0.113,0.3,103.005,2019,2,9,-,Austria,English,Ballad,-,Female,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,17.0,0.0,21.0,21.0,0,unknown,0
142,The Dream,The-Dream,0.723,0.322,8,-9.702,1,0.0341,0.014,0.0,0.119,0.0406,90.063,2019,2,10,-,Croatia,"English,ï¿½Croatian",Ballad,-,Male,1,unknown,unknown,unknown,2,0,0,0,0,,,,,,,14.0,38.0,26.0,64.0,0,unknown,0
143,Chameleon,Boy George,0.676,0.577,10,-12.031,1,0.0365,0.186,0.0,0.148,0.934,91.98,2019,2,11,1,Malta,English,Pop,0,Female,1,unknown,unknown,unknown,4,0,0,0,1,20.0,87.0,4.0,19.0,14.0,107.0,8.0,50.0,107.0,157.0,0,unknown,0
144,Run with the Lions,Jurijus,0.568,0.704,0,-6.545,1,0.0445,0.0351,0.00882,0.094,0.399,157.969,2019,2,12,-,Lithuania,English,Pop,-,Male,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,11.0,77.0,16.0,93.0,0,unknown,0
145,Scream,will.i.am,0.772,0.685,5,-6.849,1,0.0696,0.019,8.96e-05,0.131,0.501,130.033,2019,2,13,5,Russia,English,Ballad,0,Male,1,unknown,unknown,unknown,0,0,0,0,1,244.0,126.0,30.0,24.0,3.0,370.0,6.0,124.0,93.0,217.0,0,unknown,0
146,Ktheju tokes,Genvis Muça,0.68,0.91,8,-6.503,1,0.0483,0.00029,0.107,0.0686,0.127,126.03,2019,2,14,2,Albania,Albanian,Traditional,0,Female,1,unknown,unknown,unknown,0,3,0,0,1,47.0,43.0,6.0,10.0,17.0,90.0,9.0,58.0,38.0,96.0,0,unknown,0
147,Spirit in the Sky,Norman Greenbaum,0.609,0.617,9,-7.091,1,0.0307,0.0994,0.00404,0.118,0.543,128.903,2019,2,15,15,Norway,English,Dance,0,Mix,3,unknown,unknown,unknown,0,0,0,0,1,291.0,40.0,37.0,9.0,6.0,331.0,7.0,170.0,40.0,210.0,0,unknown,0
148,Arcade,Duncan Laurence,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,2019,2,16,12,Netherlands,English,Ballad,0,Male,1,unknown,unknown,unknown,0,0,0,1,1,261.0,237.0,40.0,32.0,1.0,498.0,1.0,140.0,140.0,280.0,1,unknown,0
149,Proud,Tina Turner,0.397,0.499,2,-10.972,1,0.0685,0.0766,1.55e-06,0.111,0.367,171.067,2019,2,17,8,North Macedonia,English,Ballad,0,Female,1,unknown,unknown,unknown,0,0,0,0,1,58.0,247.0,11.0,32.0,7.0,305.0,2.0,84.0,155.0,239.0,0,unknown,0
150,Truth,Tyla,0.61,0.599,1,-5.752,1,0.341,0.183,0.000124,0.0854,0.805,154.255,2019,2,18,20,Azerbaijan,English,Pop,0,Male,1,unknown,unknown,unknown,0,0,0,0,1,100.0,202.0,26.0,33.0,8.0,302.0,5.0,121.0,103.0,224.0,0,unknown,0
151,Sister,Night Ranger,0.448,0.35,5,-16.239,1,0.0393,0.147,2.27e-06,0.0842,0.234,177.279,2019,-,-,4,Germany,English,Ballad,1,Female,2,unknown,unknown,unknown,0,0,0,0,-,0.0,24.0,0.0,5.0,25.0,24.0,,,,,0,unknown,0
152,Home,Good Neighbours,0.583,0.676,6,-4.44,1,0.0298,0.0289,0.0634,0.121,0.134,77.002,2019,-,-,14,Israel,English,Ballad,1,Male,1,unknown,unknown,unknown,0,5,0,0,-,35.0,0.0,7.0,0.0,23.0,35.0,,,,,0,unknown,1
153,Bigger than Us,Various Artists,0.318,0.465,1,-11.516,1,0.034,0.652,0.869,0.0701,0.461,116.633,2019,-,-,16,United Kingdom,English,Ballad,1,Male,1,unknown,unknown,unknown,0,5,0,0,-,3.0,8.0,1.0,5.0,26.0,11.0,,,,,0,unknown,0
154,Roi,Videoclub,0.705,0.467,9,-9.261,1,0.0343,0.564,0.00107,0.0969,0.27,107.993,2019,-,-,21,France,"French, English",Pop,1,Female,1,unknown,unknown,unknown,2,0,0,0,-,38.0,67.0,12.0,18.0,16.0,105.0,,,,,0,unknown,0
155,Soldi,The Oh Hellos,0.347,0.758,8,-7.753,1,0.0706,0.031,0.000659,0.109,0.484,117.959,2019,-,-,22,Italy,Italian,Pop,1,Male,1,unknown,unknown,unknown,3,0,0,0,-,253.0,219.0,38.0,32.0,2.0,472.0,,,,,0,unknown,0
156,La Venda,DUNAMISRD,0.783,0.77,8,-3.207,0,0.146,0.14,1.62e-06,0.181,0.918,119.918,2019,-,-,26,Spain,Spanish,Pop,1,Male,1,unknown,unknown,unknown,5,0,0,0,-,53.0,1.0,12.0,1.0,22.0,54.0,,,,,0,unknown,0
157,X My Heart,AISEL,0.6,0.786,8,-6.616,1,0.0446,0.00313,2.44e-06,0.125,0.27,119.891,2018,1,1,-,Azerbaijan,English,Pop,0,Female,1,unknown,unknown,unknown,4,0,0,0,0,,,,,,,11.0,47.0,47.0,94.0,0,unknown,0
158,Our Choice,The Early November,0.28,0.699,2,-5.562,0,0.0576,0.0728,0.0,0.109,0.29,175.254,2018,1,2,-,Iceland,English,Ballad,0,Male,1,unknown,unknown,unknown,0,5,0,0,0,,,,,,,19.0,0.0,15.0,15.0,0,unknown,0
159,Mall,EST Gee,0.825,0.64,11,-7.419,1,0.324,0.0783,0.0,0.355,0.628,82.035,2018,1,3,12,Albania,Albanian,Rock,0,Male,4,unknown,unknown,unknown,0,2,3,0,1,58.0,126.0,8.0,20.0,11.0,184.0,8.0,48.0,114.0,162.0,0,unknown,0
160,A Matter of Time,Daniel Schrage,0.299,0.012,0,-32.732,1,0.0433,0.994,0.916,0.105,0.0838,94.224,2018,1,4,-,Belgium,English,Pop,-,Female,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,12.0,20.0,71.0,91.0,0,unknown,0
161,Lie to Me,SweepersENT,0.824,0.676,1,-7.467,0,0.264,0.0864,0.0,0.104,0.256,129.973,2018,1,5,14,Czech Republic,English,Pop,0,Male,1,unknown,unknown,unknown,2,0,0,0,1,215.0,66.0,35.0,16.0,6.0,281.0,3.0,134.0,98.0,232.0,0,unknown,0
162,When We're Old,Rome Hero Foxes,0.595,0.521,9,-7.549,1,0.0302,0.753,0.0,0.0922,0.531,157.005,2018,1,6,4,Lithuania,English,Ballad,0,Female,1,unknown,unknown,unknown,0,0,0,0,1,91.0,90.0,11.0,17.0,12.0,181.0,9.0,62.0,57.0,119.0,0,unknown,0
163,Toy,Netta,0.786,0.712,3,-5.349,0,0.0677,0.0696,0.0,0.236,0.795,130.144,2018,1,7,22,Israel,English,Pop,0,Female,1,unknown,unknown,unknown,3,0,0,0,1,317.0,212.0,39.0,34.0,1.0,529.0,1.0,116.0,167.0,283.0,1,unknown,0
164,Forever,Noah Kahan,0.395,0.254,0,-10.855,1,0.037,0.723,0.0,0.122,0.235,94.78,2018,1,8,-,Belarus,English,Ballad,-,Male,1,unknown,unknown,unknown,1,0,0,0,0,,,,,,,16.0,45.0,20.0,65.0,0,unknown,0
165,La forza,Arturo Stalteri,0.0688,0.138,0,-23.439,1,0.0465,0.414,0.805,0.0875,0.0363,76.787,2018,1,9,6,Estonia,Italian,Opera,0,Female,1,unknown,unknown,unknown,0,0,0,0,1,102.0,143.0,19.0,26.0,8.0,245.0,5.0,120.0,81.0,201.0,0,unknown,0
166,Bones,Imagine Dragons,0.773,0.742,5,-3.678,0,0.046,0.0206,0.0,0.0754,0.571,114.071,2018,1,10,18,Bulgaria,English,Pop,0,Mix,5,unknown,unknown,unknown,0,0,0,0,1,66.0,100.0,15.0,18.0,14.0,166.0,7.0,70.0,107.0,177.0,0,unknown,0
167,Lost and Found,Brooks & Dunn,0.659,0.786,4,-5.583,1,0.0279,0.211,0.0,0.0854,0.779,115.285,2018,1,11,-,North Macedonia,English,Pop,-,Female,1,unknown,unknown,unknown,0,3,2,0,0,,,,,,,18.0,6.0,18.0,24.0,0,unknown,0
168,Crazy,Ozzy Osbourne,0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,2018,1,12,-,Croatia,English,Pop,-,Female,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,17.0,17.0,46.0,63.0,0,unknown,0
169,Nobody but You,"Sonder, Jorja Smith",0.637,0.299,7,-11.314,1,0.0366,0.742,0.0,0.359,0.364,83.872,2018,1,13,5,Austria,English,Pop,0,Male,1,unknown,unknown,unknown,0,0,0,0,1,71.0,271.0,18.0,34.0,3.0,342.0,4.0,116.0,115.0,231.0,0,unknown,0
170,Oniro mou,Haris Akritidis,0.624,0.832,2,-4.903,0,0.0336,0.558,0.0,0.183,0.723,106.087,2018,1,14,-,Greece,Greek,Pop,-,Female,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,14.0,53.0,28.0,81.0,0,unknown,0
171,Monsters,James Blunt,0.375,0.409,0,-8.713,0,0.037,0.205,0.0,0.1,0.196,127.854,2018,1,15,17,Finland,English,Pop,0,Female,1,unknown,unknown,unknown,4,0,0,0,1,23.0,23.0,4.0,6.0,25.0,46.0,10.0,73.0,35.0,108.0,0,unknown,0
172,Qami,Sevak,0.34,0.499,2,-8.086,0,0.0358,0.18,1.07e-06,0.272,0.227,74.903,2018,1,16,-,Armenia,Armenian,Pop,-,Male,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,15.0,41.0,38.0,79.0,0,unknown,0
173,Stones,Kim Walker-Smith,0.41,0.709,1,-7.069,0,0.045,0.0164,0.0,0.145,0.186,75.954,2018,1,17,-,Switzerland,English,Pop,-,Female,1,unknown,unknown,unknown,0,0,1,0,0,,,,,,,13.0,27.0,59.0,86.0,0,unknown,0
174,Together,Rick Astley,0.702,0.933,2,-11.876,1,0.0492,0.0519,0.000128,0.155,0.896,115.114,2018,1,18,24,Ireland,English,Traditional,0,Male,1,unknown,unknown,unknown,2,0,1,1,1,62.0,74.0,14.0,19.0,16.0,136.0,6.0,108.0,71.0,179.0,0,unknown,0
