,song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,semi_final,semi_draw_position,final_draw_position,country,language,style,direct_qualifier_10,gender,main_singers,age,selection,key_change_10,backing_dancers,backing_singers,backing_instruments,instrument_10,qualified_10,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,final_place,final_total_points,semi_place,semi_televote_points,semi_jury_points,semi_total_points,favourite_10,race,host_10
18,Bridges,NEEDTOBREATHE,0.654,0.595,7,-5.354,0,0.0293,0.192,1.27e-05,0.132,0.207,101.032,2023,2,4,12,Estonia,English,Ballad,0,Female,1,unknown,unknown,unknown,0,0,0,1,1,22.0,146.0,4.0,22.0,8.0,168.0,10.0,74.0,,74.0,0,unknown,0
19,Because of You,Kelly Clarkson,0.583,0.584,5,-5.362,0,0.0314,0.254,0.0,0.123,0.136,140.039,2023,2,5,16,Belgium,English,Pop,0,Male,1,unknown,unknown,unknown,1,3,0,0,1,55.0,127.0,13.0,22.0,7.0,182.0,8.0,90.0,,90.0,0,unknown,0
20,Break a Broken Heart,SaraLisa,0.565,0.708,2,-6.423,1,0.0266,0.219,0.0,0.177,0.568,172.016,2023,2,6,7,Cyprus,English,Ballad,0,Male,1,unknown,unknown,unknown,0,0,0,0,1,58.0,68.0,11.0,17.0,12.0,126.0,7.0,94.0,,94.0,0,unknown,0
21,Power,Little Mix,0.566,0.855,7,-4.016,1,0.211,0.0372,0.000157,0.181,0.517,172.966,2023,2,7,,Iceland,English,Pop,-,Female,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,11.0,44.0,,44.0,0,unknown,0
22,What They Say,Nettspend,0.587,0.59,9,-9.408,1,0.299,0.0226,0.000103,0.0994,0.279,120.062,2023,2,8,,Greece,English,Pop,-,Male,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,13.0,14.0,,14.0,0,unknown,0
23,Solo,Future,0.784,0.486,5,-6.497,0,0.0475,0.0538,0.497,0.101,0.0894,110.964,2023,2,9,4,Poland,English,Pop,0,Female,1,unknown,unknown,unknown,4,0,0,0,1,81.0,12.0,17.0,5.0,19.0,93.0,3.0,124.0,,124.0,0,unknown,0
24,Carpe Diem,"Arodes, Komashov",0.766,0.793,11,-8.996,0,0.0505,0.0024,0.889,0.0439,0.155,121.991,2023,2,10,24,Slovenia,Slovene,Rock,0,Male,1,unknown,unknown,unknown,0,0,4,0,1,45.0,33.0,11.0,6.0,21.0,78.0,5.0,103.0,,103.0,0,unknown,0
25,Echo,Crusher-P,0.637,0.906,3,-3.099,0,0.0522,0.082,0.0,0.125,0.36,140.025,2023,2,11,,Georgia,English,Ballad,-,Female,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,12.0,33.0,,33.0,0,unknown,0
26,Like an Animal,RÜFÜS DU SOL,0.71,0.748,9,-6.244,0,0.0305,0.0341,0.000105,0.0897,0.38,119.994,2023,2,12,,San Marino,English,Rock,-,Male,1,unknown,unknown,unknown,0,0,3,0,0,,,,,,,16.0,0.0,,0.0,0,unknown,0
27,Who the Hell Is Edgar?,"TEYA, SALENA",0.688,0.644,11,-7.629,0,0.0596,0.0234,0.00202,0.0995,0.508,145.926,2023,2,13,1,Austria,English,Pop,0,Female,2,unknown,unknown,unknown,4,0,0,0,1,16.0,104.0,4.0,18.0,15.0,120.0,2.0,137.0,,137.0,0,unknown,0
28,Duje,"Albina Kelmendi, Familja Kelmendi",0.639,0.804,2,-5.57,0,0.192,0.046,0.0,0.129,0.434,109.911,2023,2,14,10,Albania,Albanian,Traditional,0,Female,1,unknown,unknown,unknown,0,5,0,0,1,59.0,17.0,10.0,4.0,22.0,76.0,9.0,83.0,,83.0,0,unknown,0
29,Stay,Various Artists,0.382,0.836,9,-5.661,0,0.403,0.0725,0.0,0.23,0.444,201.776,2023,2,15,22,Lithuania,English,Ballad,0,Female,1,unknown,unknown,unknown,0,4,0,0,1,46.0,81.0,8.0,15.0,11.0,127.0,4.0,110.0,,110.0,0,unknown,0
30,Promise,Laufey,0.263,0.112,5,-16.55,1,0.0344,0.935,8.5e-05,0.0565,0.0903,76.244,2023,2,16,15,Australia,English,Rock,0,Male,1,unknown,unknown,unknown,0,0,4,0,1,21.0,130.0,6.0,23.0,9.0,151.0,1.0,149.0,,149.0,0,unknown,0
31,ï¿½videmment,"Maurice Ravel, Orchestre National de la RTF, Manuel Rosenthal",0.371,0.13,8,-20.022,1,0.0471,0.906,7.94e-06,0.12,0.276,108.204,2023,-,-,6,France,French,Ballad,1,Female,1,unknown,unknown,unknown,0,0,0,0,-,50.0,54.0,17.0,10.0,16.0,104.0,,,,,0,unknown,0
32,Eaea,Barra XIII,0.866,0.84,7,-5.764,1,0.0469,0.0118,0.000702,0.253,0.688,98.016,2023,-,-,8,Spain,Spanish,Traditional,1,Female,1,unknown,unknown,unknown,5,0,0,0,-,5.0,95.0,2.0,21.0,17.0,100.0,,,,,0,unknown,0
33,Due vite,TheMa,0.84,0.135,2,-12.6,1,0.0843,0.919,0.0,0.0885,0.289,117.077,2023,-,-,11,Italy,Italian,Ballad,1,Male,1,unknown,unknown,unknown,2,0,0,0,-,174.0,176.0,29.0,27.0,4.0,350.0,,,,,0,unknown,0
34,Heart of Steel,Beast In Black,0.548,0.947,8,-6.387,0,0.0339,0.00281,0.000131,0.174,0.65,109.972,2023,-,-,19,Ukraine,"English, Ukrainian",Pop,1,Male,1,unknown,unknown,unknown,2,0,1,0,-,189.0,54.0,28.0,10.0,6.0,243.0,,,,,0,unknown,0
35,Blood & Glitter,grandson,0.504,0.891,6,-5.632,0,0.137,0.00163,0.00199,0.148,0.628,153.988,2023,-,-,21,Germany,English,Rock,1,Male,1,unknown,unknown,unknown,0,0,4,1,-,15.0,3.0,3.0,2.0,26.0,18.0,,,,,0,unknown,0
36,I Wrote a Song,Mae Muller,0.714,0.888,9,-4.102,0,0.0546,0.0446,0.00489,0.0841,0.86,125.036,2023,-,-,26,United Kingdom,English,Pop,1,Female,1,unknown,unknown,unknown,0,4,0,0,-,9.0,15.0,2.0,5.0,25.0,24.0,,,,,0,unknown,1
37,Sekret,Se'Kret,0.725,0.618,0,-8.197,1,0.219,0.0261,0.0,0.109,0.729,117.668,2022,1,1,-,Albania,"Albanian, English",Pop,-,Female,1,unknown,unknown,unknown,5,0,0,0,0,,,,,,,12.0,46.0,12.0,58.0,0,unknown,0
38,Eat Your Salad,Citi Zēni,0.752,0.693,11,-7.731,0,0.169,0.0121,0.0,0.335,0.591,115.031,2022,1,2,-,Latvia,English,Pop,-,Male,1,unknown,unknown,unknown,0,0,4,0,0,,,,,,,14.0,16.0,39.0,55.0,0,unknown,0
39,Sentimentai,Monika LIU,0.675,0.555,0,-7.995,1,0.0325,0.0902,0.00411,0.314,0.5,93.075,2022,1,3,14,Lithuania,Lithuanian,Ballad,0,Female,1,unknown,unknown,unknown,0,0,0,0,1,93.0,35.0,21.0,10.0,14.0,128.0,7.0,103.0,56.0,159.0,0,unknown,0
40,Boys Do Cry,Piff Marti,0.872,0.402,11,-12.801,0,0.314,0.532,1.07e-05,0.18,0.573,94.993,2022,1,4,5,Switzerland,English,Ballad,0,Male,1,unknown,unknown,unknown,0,0,0,0,1,0.0,78.0,0.0,21.0,17.0,78.0,9.0,11.0,107.0,118.0,0,unknown,0
41,Disko,"The La Planta, BM, Alejo Isakk",0.822,0.519,9,-7.183,1,0.136,0.178,0.0,0.0814,0.779,89.962,2022,1,5,-,Slovenia,Slovene,Pop,-,Male,1,unknown,unknown,unknown,0,0,4,0,0,,,,,,,17.0,8.0,7.0,15.0,0,unknown,0
