song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,country,language,style,gender,main_singers,backing_dancers,backing_singers,backing_instruments,semi_place,eng_lan,inc_eng_lan,Male,Female,Pop,Rock,Ballad,Traditional,Dance,is_final
Like an Animal,RÜFÜS DU SOL,0.71,0.748,9,-6.244,0,0.0305,0.0341,0.000105,0.0897,0.38,119.994,2023,San Marino,English,Rock,Male,1,0,0,3,16.0,1,0,1,0,0,1,0,0,0,0
Who the Hell Is Edgar?,"TEYA, SALENA",0.688,0.644,11,-7.629,0,0.0596,0.0234,0.00202,0.0995,0.508,145.926,2023,Austria,English,Pop,Female,2,4,0,0,2.0,1,0,0,1,1,0,0,0,0,1
Duje,"Albina Kelmendi, Familja Kelmendi",0.639,0.804,2,-5.57,0,0.192,0.046,0.0,0.129,0.434,109.911,2023,Albania,Albanian,Traditional,Female,1,0,5,0,9.0,0,0,0,1,0,0,0,1,0,1
Stay,Various Artists,0.382,0.836,9,-5.661,0,0.403,0.0725,0.0,0.23,0.444,201.776,2023,Lithuania,English,Ballad,Female,1,0,4,0,4.0,1,0,0,1,0,0,1,0,0,1
Promise,Laufey,0.263,0.112,5,-16.55,1,0.0344,0.935,8.5e-05,0.0565,0.0903,76.244,2023,Australia,English,Rock,Male,1,0,0,4,1.0,1,0,1,0,0,1,0,0,0,1
Sekret,Se'Kret,0.725,0.618,0,-8.197,1,0.219,0.0261,0.0,0.109,0.729,117.668,2022,Albania,"Albanian, English",Pop,Female,1,5,0,0,12.0,0,1,0,1,1,0,0,0,0,0
Eat Your Salad,Citi Zēni,0.752,0.693,11,-7.731,0,0.169,0.0121,0.0,0.335,0.591,115.031,2022,Latvia,English,Pop,Male,1,0,0,4,14.0,1,0,1,0,1,0,0,0,0,0
Sentimentai,Monika LIU,0.675,0.555,0,-7.995,1,0.0325,0.0902,0.00411,0.314,0.5,93.075,2022,Lithuania,Lithuanian,Ballad,Female,1,0,0,0,7.0,0,0,0,1,0,0,1,0,0,1
Boys Do Cry,Piff Marti,0.872,0.402,11,-12.801,0,0.314,0.532,1.07e-05,0.18,0.573,94.993,2022,Switzerland,English,Ballad,Male,1,0,0,0,9.0,1,0,1,0,0,0,1,0,0,1
Disko,"The La Planta, BM, Alejo Isakk",0.822,0.519,9,-7.183,1,0.136,0.178,0.0,0.0814,0.779,89.962,2022,Slovenia,Slovene,Pop,Male,1,0,0,4,17.0,0,0,1,0,1,0,0,0,0,0
Stefania,"KALUSH, Kalush Orchestra",0.832,0.817,2,-5.182,1,0.0422,0.145,0.00169,0.115,0.324,104.985,2022,Ukraine,Ukrainian,Traditional,Male,1,1,2,2,1.0,0,0,1,0,0,0,0,1,0,1
Intention,Justin Bieber,0.811,0.553,9,-6.644,1,0.0552,0.317,0.0,0.105,0.86,148.014,2022,Bulgaria,English,Rock,Male,1,0,0,5,16.0,1,0,1,0,0,1,0,0,0,0
