song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,country,language,style,gender,main_singers,backing_dancers,backing_singers,backing_instruments,semi_place,eng_lan,inc_eng_lan,Male,Female,Pop,Rock,Ballad,Traditional,Dance,is_final
She Got Me,"Harnoor & Gifty, Harnoor",0.71,0.468,11,-9.261,0,0.0398,0.181,0.0,0.292,0.217,90.006,2019,Switzerland,English,Dance,Male,1,4,0,0,4.0,1,0,1,0,0,0,0,0,1,1
That Night,Lucia Zambetti,0.692,0.578,1,-7.866,1,0.0278,0.397,3.3e-05,0.0961,0.698,135.023,2019,Latvia,English,Pop,Female,1,0,0,3,15.0,1,0,0,1,1,0,0,0,0,0
On a Sunday,Latino Velvet,0.784,0.765,1,-3.545,1,0.212,0.095,0.0,0.182,0.845,94.812,2019,Romania,English,Pop,Female,1,2,2,1,13.0,1,0,0,1,1,0,0,0,0,0
Love Is Forever,Tommy february6,0.553,0.977,2,-3.731,1,0.0296,0.000174,0.933,0.328,0.97,120.03,2019,Denmark,"English,ï¿½French",Pop,Female,1,2,2,0,10.0,0,1,0,1,1,0,0,0,0,1
Too Late for Love,Def Leppard,0.536,0.812,4,-7.379,0,0.0441,0.00306,0.000455,0.116,0.338,94.677,2019,Sweden,English,Ballad,Male,1,0,4,0,3.0,1,0,1,0,0,0,1,0,0,1
Limits,Bad Omens,0.312,0.968,5,-3.316,1,0.418,0.000305,4.37e-05,0.113,0.3,103.005,2019,Austria,English,Ballad,Female,1,0,0,0,17.0,1,0,0,1,0,0,1,0,0,0
The Dream,The-Dream,0.723,0.322,8,-9.702,1,0.0341,0.014,0.0,0.119,0.0406,90.063,2019,Croatia,"English,ï¿½Croatian",Ballad,Male,1,2,0,0,14.0,0,1,1,0,0,0,1,0,0,0
Chameleon,Boy George,0.676,0.577,10,-12.031,1,0.0365,0.186,0.0,0.148,0.934,91.98,2019,Malta,English,Pop,Female,1,4,0,0,8.0,1,0,0,1,1,0,0,0,0,1
Run with the Lions,Jurijus,0.568,0.704,0,-6.545,1,0.0445,0.0351,0.00882,0.094,0.399,157.969,2019,Lithuania,English,Pop,Male,1,0,0,0,11.0,1,0,1,0,1,0,0,0,0,0
Scream,will.i.am,0.772,0.685,5,-6.849,1,0.0696,0.019,8.96e-05,0.131,0.501,130.033,2019,Russia,English,Ballad,Male,1,0,0,0,6.0,1,0,1,0,0,0,1,0,0,1
Ktheju tokes,Genvis Muça,0.68,0.91,8,-6.503,1,0.0483,0.00029,0.107,0.0686,0.127,126.03,2019,Albania,Albanian,Traditional,Female,1,0,3,0,9.0,0,0,0,1,0,0,0,1,0,1
Spirit in the Sky,Norman Greenbaum,0.609,0.617,9,-7.091,1,0.0307,0.0994,0.00404,0.118,0.543,128.903,2019,Norway,English,Dance,Mix,3,0,0,0,7.0,1,0,0,0,0,0,0,0,1,1
Arcade,Duncan Laurence,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,2019,Netherlands,English,Ballad,Male,1,0,0,0,1.0,1,0,1,0,0,0,1,0,0,1
Proud,Tina Turner,0.397,0.499,2,-10.972,1,0.0685,0.0766,1.55e-06,0.111,0.367,171.067,2019,North Macedonia,English,Ballad,Female,1,0,0,0,2.0,1,0,0,1,0,0,1,0,0,1
Truth,Tyla,0.61,0.599,1,-5.752,1,0.341,0.183,0.000124,0.0854,0.805,154.255,2019,Azerbaijan,English,Pop,Male,1,0,0,0,5.0,1,0,1,0,1,0,0,0,0,1
X My Heart,AISEL,0.6,0.786,8,-6.616,1,0.0446,0.00313,2.44e-06,0.125,0.27,119.891,2018,Azerbaijan,English,Pop,Female,1,4,0,0,11.0,1,0,0,1,1,0,0,0,0,0
Our Choice,The Early November,0.28,0.699,2,-5.562,0,0.0576,0.0728,0.0,0.109,0.29,175.254,2018,Iceland,English,Ballad,Male,1,0,5,0,19.0,1,0,1,0,0,0,1,0,0,0
Mall,EST Gee,0.825,0.64,11,-7.419,1,0.324,0.0783,0.0,0.355,0.628,82.035,2018,Albania,Albanian,Rock,Male,4,0,2,3,8.0,0,0,1,0,0,1,0,0,0,1
A Matter of Time,Daniel Schrage,0.299,0.012,0,-32.732,1,0.0433,0.994,0.916,0.105,0.0838,94.224,2018,Belgium,English,Pop,Female,1,0,0,0,12.0,1,0,0,1,1,0,0,0,0,0
Lie to Me,SweepersENT,0.824,0.676,1,-7.467,0,0.264,0.0864,0.0,0.104,0.256,129.973,2018,Czech Republic,English,Pop,Male,1,2,0,0,3.0,1,0,1,0,1,0,0,0,0,1
When We're Old,Rome Hero Foxes,0.595,0.521,9,-7.549,1,0.0302,0.753,0.0,0.0922,0.531,157.005,2018,Lithuania,English,Ballad,Female,1,0,0,0,9.0,1,0,0,1,0,0,1,0,0,1
Toy,Netta,0.786,0.712,3,-5.349,0,0.0677,0.0696,0.0,0.236,0.795,130.144,2018,Israel,English,Pop,Female,1,3,0,0,1.0,1,0,0,1,1,0,0,0,0,1
Forever,Noah Kahan,0.395,0.254,0,-10.855,1,0.037,0.723,0.0,0.122,0.235,94.78,2018,Belarus,English,Ballad,Male,1,1,0,0,16.0,1,0,1,0,0,0,1,0,0,0
La forza,Arturo Stalteri,0.0688,0.138,0,-23.439,1,0.0465,0.414,0.805,0.0875,0.0363,76.787,2018,Estonia,Italian,Opera,Female,1,0,0,0,5.0,0,0,0,1,0,0,0,0,0,1
Bones,Imagine Dragons,0.773,0.742,5,-3.678,0,0.046,0.0206,0.0,0.0754,0.571,114.071,2018,Bulgaria,English,Pop,Mix,5,0,0,0,7.0,1,0,0,0,1,0,0,0,0,1
Lost and Found,Brooks & Dunn,0.659,0.786,4,-5.583,1,0.0279,0.211,0.0,0.0854,0.779,115.285,2018,North Macedonia,English,Pop,Female,1,0,3,2,18.0,1,0,0,1,1,0,0,0,0,0
Crazy,Ozzy Osbourne,0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,2018,Croatia,English,Pop,Female,1,0,0,0,17.0,1,0,0,1,1,0,0,0,0,0
Nobody but You,"Sonder, Jorja Smith",0.637,0.299,7,-11.314,1,0.0366,0.742,0.0,0.359,0.364,83.872,2018,Austria,English,Pop,Male,1,0,0,0,4.0,1,0,1,0,1,0,0,0,0,1
Oniro mou,Haris Akritidis,0.624,0.832,2,-4.903,0,0.0336,0.558,0.0,0.183,0.723,106.087,2018,Greece,Greek,Pop,Female,1,0,0,0,14.0,0,0,0,1,1,0,0,0,0,0
Monsters,James Blunt,0.375,0.409,0,-8.713,0,0.037,0.205,0.0,0.1,0.196,127.854,2018,Finland,English,Pop,Female,1,4,0,0,10.0,1,0,0,1,1,0,0,0,0,1
Qami,Sevak,0.34,0.499,2,-8.086,0,0.0358,0.18,1.07e-06,0.272,0.227,74.903,2018,Armenia,Armenian,Pop,Male,1,0,0,0,15.0,0,0,1,0,1,0,0,0,0,0
Stones,Kim Walker-Smith,0.41,0.709,1,-7.069,0,0.045,0.0164,0.0,0.145,0.186,75.954,2018,Switzerland,English,Pop,Female,1,0,0,1,13.0,1,0,0,1,1,0,0,0,0,0
Together,Rick Astley,0.702,0.933,2,-11.876,1,0.0492,0.0519,0.000128,0.155,0.896,115.114,2018,Ireland,English,Traditional,Male,1,2,0,1,6.0,1,0,1,0,0,0,0,1,0,1
Fuego,Pitbull,0.882,0.693,1,-5.783,1,0.139,0.0301,0.000539,0.0618,0.582,135.055,2018,Cyprus,English,Pop,Female,1,4,0,0,2.0,1,0,0,1,1,0,0,0,0,1
That's How You Write a Song,Alexander Rybak,0.761,0.78,5,-9.519,0,0.05,0.119,3.62e-06,0.0575,0.901,104.019,2018,Norway,English,Pop,Male,1,4,0,0,1.0,1,0,1,0,1,0,0,0,0,1
Goodbye,Elton John,0.559,0.473,5,-7.712,1,0.0279,0.446,0.00141,0.154,0.397,121.227,2018,Romania,English,Pop,Female,1,0,0,5,11.0,1,0,0,1,1,0,0,0,0,0
Nova deca,Sanja Ilic & Balkanika,0.383,0.874,11,-4.02,0,0.111,0.0757,3.65e-05,0.301,0.301,125.19,2018,Serbia,Serbian,Traditional,Mix,2,1,2,1,9.0,0,0,0,0,0,0,0,1,0,1
Who We Are,Imagine Dragons,0.407,0.656,6,-7.088,0,0.0413,0.00746,0.255,0.343,0.39,173.954,2018,San Marino,English,Pop,Female,1,2,1,0,17.0,1,0,0,1,1,0,0,0,0,0
Higher Ground,Stevie Wonder,0.716,0.85,8,-9.949,1,0.0426,0.0631,0.00133,0.189,0.821,125.474,2018,Denmark,English,Traditional,Male,1,4,0,0,5.0,1,0,1,0,0,0,0,1,0,1
I Won't Break,Elyssa Smith,0.324,0.32,2,-9.786,1,0.0285,0.451,0.000384,0.117,0.146,174.209,2018,Russia,English,Pop,Female,1,2,3,0,15.0,1,0,0,1,1,0,0,0,0,0
My Lucky Day,Bruce Springsteen,0.398,0.94,2,-6.06,1,0.0587,7.88e-05,2.92e-06,0.352,0.623,140.603,2018,Moldova,English,Pop,Mix,3,3,0,0,3.0,1,0,0,0,1,0,0,0,0,1
Outlaw in 'Em,Waylon,0.502,0.933,4,-3.332,0,0.0772,0.0313,0.0,0.368,0.684,87.01,2018,Netherlands,English,Rock,Male,1,0,0,4,7.0,1,0,1,0,0,1,0,0,0,1
We Got Love,"Sigala, Ella Henderson",0.722,0.812,9,-3.352,0,0.0924,0.0205,2.51e-05,0.131,0.657,124.909,2018,Australia,English,Pop,Female,1,0,0,0,4.0,1,0,0,1,1,0,0,0,0,1
For You,NightCove_thefox,0.767,0.286,3,-16.052,1,0.0544,0.296,0.0,0.0992,0.484,100.019,2018,Georgia,Georgian,Pop,Male,3,0,0,2,18.0,0,0,1,0,1,0,0,0,0,0
Light Me Up,Ingrid Michaelson,0.417,0.595,6,-7.84,1,0.0396,0.158,0.000269,0.101,0.117,147.928,2018,Poland,English,Dance,Male,1,1,3,1,14.0,1,0,1,0,0,0,0,0,1,0
Taboo,Don Omar,0.43,0.886,0,-5.811,1,0.0828,0.0449,0.0,0.0879,0.808,187.38,2018,Malta,English,Pop,Female,1,1,0,0,13.0,1,0,0,1,1,0,0,0,0,0
Viszlat nyar,AWS,0.346,0.936,8,-3.933,1,0.0502,7e-05,1.08e-05,0.052,0.38,163.999,2018,Hungary,Hungarian,Rock,Male,1,0,0,4,10.0,0,0,1,0,0,1,0,0,0,1
Funny Girl,Father John Misty,0.237,0.352,10,-8.864,1,0.0359,0.963,0.229,0.156,0.254,180.402,2018,Latvia,English,Pop,Female,1,0,0,0,12.0,1,0,0,1,1,0,0,0,0,0
Dance You Off,Benjamin Ingrosso,0.73,0.692,8,-5.432,1,0.0695,0.104,5.42e-06,0.106,0.76,109.08,2018,Sweden,English,Pop,Male,1,0,0,0,2.0,1,0,1,0,1,0,0,0,0,1
Inje,Rise Against,0.42,0.996,8,-2.961,0,0.0804,0.000229,0.00042,0.0897,0.433,105.686,2018,Montenegro,Montenegrin,Rock,Male,1,4,0,1,16.0,0,0,1,0,0,1,0,0,0,0
"Hvala, ne!",Lea Sirk,0.813,0.595,1,-8.471,1,0.0475,0.0148,0.000164,0.1,0.359,140.066,2018,Slovenia,Slovene,Pop,Female,1,4,0,0,8.0,0,0,0,1,1,0,0,0,0,1
Under the Ladder,MÉLOVIN,0.573,0.75,10,-6.275,0,0.039,0.00251,2.39e-05,0.1,0.48,139.933,2018,Ukraine,English,Dance,Male,1,0,4,0,6.0,1,0,1,0,0,0,0,0,1,1
I Can't Go On,KALEO,0.368,0.267,8,-9.395,0,0.0428,0.655,2.24e-05,0.0834,0.194,91.88,2017,Sweden,English,Pop,Male,1,4,0,0,3.0,1,0,1,0,1,0,0,0,0,1
Keep the Faith,Bon Jovi,0.569,0.968,5,-3.72,0,0.0487,0.00108,0.00153,0.0814,0.568,117.783,2017,Georgia,English,Pop,Female,1,0,0,0,11.0,1,0,0,1,1,0,0,0,0,0
Don't Come Easy,Raheem DeVaughn,0.674,0.361,11,-10.036,0,0.218,0.867,3.74e-06,0.0975,0.239,71.613,2017,Australia,English,Pop,Male,1,0,0,0,6.0,1,0,1,0,1,0,0,0,0,1
World,AJR,0.68,0.696,5,-6.977,1,0.051,0.116,0.0,0.607,0.684,115.962,2017,Albania,English,Pop,Female,1,0,4,0,14.0,1,0,0,1,1,0,0,0,0,0
City Lights,Ese 40'z,0.734,0.694,1,-7.41,1,0.131,0.0816,0.0,0.0843,0.505,94.015,2017,Belgium,English,Pop,Female,1,0,0,0,4.0,1,0,0,1,1,0,0,0,0,1
Space,Beach House,0.508,0.792,0,-7.311,0,0.0297,0.229,0.124,0.145,0.601,147.067,2017,Montenegro,English,Pop,Male,1,0,0,0,16.0,1,0,1,0,1,0,0,0,0,0
Blackbird,The Beatles,0.686,0.127,7,-14.361,1,0.0342,0.754,1.41e-05,0.0573,0.372,93.699,2017,Finland,English,Ballad,Female,1,0,0,1,12.0,1,0,0,1,0,0,1,0,0,0
Skeletons,Travis Scott,0.46,0.686,0,-5.948,0,0.0367,0.00146,0.0,0.375,0.252,148.054,2017,Azerbaijan,English,Pop,Female,1,1,4,0,8.0,1,0,0,1,1,0,0,0,0,1
Amar pelos dois,Salvador Sobral,0.215,0.0952,5,-17.769,1,0.0358,0.853,0.00426,0.261,0.16,172.692,2017,Portugal,Portuguese,Ballad,Male,1,0,0,0,1.0,0,0,1,0,0,0,1,0,0,1
This Is Love,Air Traffic Controller,0.62,0.732,4,-5.506,1,0.0902,0.102,0.0,0.171,0.645,112.104,2017,Greece,English,Pop,Female,1,2,0,0,10.0,1,0,0,1,1,0,0,0,0,1
Flashlight,Various Artists,0.379,0.618,5,-7.065,1,0.0586,0.337,5.1e-06,0.102,0.4,147.53,2017,Poland,English,Pop,Female,1,0,0,1,9.0,1,0,0,1,1,0,0,0,0,1
"Hey, Mamma!",Sunstroke Project,0.832,0.807,10,-5.944,0,0.112,0.233,0.0102,0.0681,0.644,110.094,2017,Moldova,English,Dance,Male,1,0,3,2,2.0,1,0,1,0,0,0,0,0,1,1
Paper,Taylor Swift,0.811,0.719,9,-6.553,1,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,2017,Iceland,English,Pop,Female,1,0,0,0,15.0,1,0,0,1,1,0,0,0,0,0
My Turn,"kidthvldd backup, kidthvldd",0.858,0.681,1,-5.802,1,0.17,0.00559,0.0,0.231,0.928,127.747,2017,Czech Republic,English,Pop,Female,1,0,0,0,13.0,1,0,0,1,1,0,0,0,0,0
Gravity,Brad Breeck,0.62,0.892,5,-3.406,1,0.0431,0.0326,0.971,0.348,0.922,166.124,2017,Cyprus,English,Pop,Male,1,2,0,0,5.0,1,0,1,0,1,0,0,0,0,1
Fly with Me,Jonas Brothers,0.481,0.926,0,-3.464,1,0.0576,0.00561,0.0,0.119,0.523,149.957,2017,Armenia,English,Pop,Female,1,2,0,0,7.0,1,0,0,1,1,0,0,0,0,1
On My Way,"Alan Walker, Sabrina Carpenter, Farruko",0.509,0.689,1,-4.929,0,0.102,0.0209,0.0,0.301,0.297,170.087,2017,Slovenia,English,Ballad,Male,1,0,0,0,17.0,1,0,1,0,0,0,1,0,0,0
Line,"Uzielito Mix, Yeri Mua, El Jordan 23",0.878,0.857,1,-2.337,1,0.148,0.0263,0.0,0.301,0.899,99.99,2017,Latvia,English,Pop,Female,1,0,0,3,18.0,1,0,0,1,1,0,0,0,0,0
In Too Deep,Sum 41,0.568,0.844,9,-5.875,1,0.0505,0.000189,0.0,0.0607,0.766,116.046,2017,Serbia,English,Pop,Female,1,1,0,0,11.0,1,0,0,1,1,0,0,0,0,0
Running on Air,Moonfall,0.626,0.832,1,-3.428,0,0.0419,0.0246,0.0,0.0975,0.377,127.044,2017,Austria,English,Pop,Male,1,0,4,0,7.0,1,0,1,0,1,0,0,0,0,1
Dance Alone,"Sia, Kylie Minogue",0.687,0.651,1,-4.756,1,0.0419,0.00296,0.26,0.0822,0.508,119.961,2017,North Macedonia,English,Pop,Female,1,0,0,0,15.0,1,0,0,1,1,0,0,0,0,0
Breathlessly,Lovetape,0.41,0.626,3,-5.088,1,0.029,0.142,0.000398,0.18,0.522,179.908,2017,Malta,English,Ballad,Female,1,0,0,0,16.0,1,0,0,1,0,0,1,0,0,0
Yodel It!,"Ilinca, Alex Florea",0.504,0.862,10,-6.81,1,0.129,0.00309,0.0,0.0856,0.749,174.022,2017,Romania,English,Pop,Mix,2,0,1,0,6.0,1,0,0,0,1,0,0,0,0,1
Lights and Shadows,Thejrsounddesign,0.419,0.00463,10,-23.276,1,0.0501,0.985,0.882,0.0948,0.177,128.569,2017,Netherlands,English,Pop,Female,3,0,0,0,4.0,1,0,0,1,1,0,0,0,0,1
Origo,Pápai Joci,0.596,0.733,9,-6.514,0,0.152,0.479,0.0,0.29,0.376,107.865,2017,Hungary,Hungarian,Traditional,Male,1,1,0,0,2.0,0,0,1,0,0,0,0,1,0,1
Where I Am,"Meisym, Flx",0.571,0.675,4,-4.612,0,0.0391,0.76,2.62e-05,0.354,0.325,141.01,2017,Denmark,English,Pop,Female,1,0,0,0,10.0,1,0,0,1,1,0,0,0,0,1
Dying to Try,Brendan Murray,0.44,0.481,5,-7.199,0,0.0335,0.626,0.0,0.108,0.192,163.876,2017,Ireland,English,Ballad,Male,1,0,0,0,13.0,1,0,1,0,0,0,1,0,0,0
Spirit of the Night,Tesla Boy,0.597,0.936,2,-5.836,1,0.0557,0.0479,0.00193,0.825,0.582,159.98,2017,San Marino,English,Pop,Mix,2,3,0,0,18.0,1,0,0,0,1,0,0,0,0,0
My Friend,DC Talk,0.49,0.831,9,-3.768,1,0.0444,0.00822,1.14e-06,0.0869,0.416,121.999,2017,Croatia,"English,ï¿½Italian",Opera,Male,1,0,3,2,8.0,0,1,1,0,0,0,0,0,0,1
Grab the Moment,JOWST,0.693,0.612,4,-6.665,0,0.0941,0.117,0.0,0.0905,0.316,104.014,2017,Norway,English,Pop,Male,1,0,0,3,5.0,1,0,1,0,1,0,0,0,0,1
Apollo,Last Dinosaurs,0.512,0.915,8,-5.183,0,0.104,0.296,0.000185,0.156,0.53,127.015,2017,Switzerland,English,Pop,Female,1,0,0,2,12.0,1,0,0,1,1,0,0,0,0,0
Story of My Life,One Direction,0.6,0.663,3,-5.802,1,0.0477,0.225,0.0,0.119,0.286,121.07,2017,Belarus,Belarusian,Pop,Mix,2,0,0,0,9.0,0,0,0,0,1,0,0,0,0,1
Beautiful Mess,Hillary Scott & The Scott Family,0.463,0.722,0,-6.453,1,0.0423,0.478,2.5e-06,0.139,0.479,84.913,2017,Bulgaria,English,Pop,Male,1,0,0,0,1.0,1,0,1,0,1,0,0,0,0,1
Rain of Revolution,Leah Burton,0.258,0.414,5,-20.373,1,0.0575,0.971,0.928,0.394,0.152,80.44,2017,Lithuania,English,Pop,Female,1,0,4,1,17.0,1,0,0,1,1,0,0,0,0,0
Verona,Muse,0.336,0.846,7,-5.026,1,0.0484,0.0969,0.000601,0.097,0.221,176.056,2017,Estonia,English,Pop,Mix,2,0,0,0,14.0,1,0,0,0,1,0,0,0,0,0
I Feel Alive,"Kordhell, Scarlxrd",0.613,0.944,10,-0.142,0,0.0428,8.27e-05,0.00425,0.325,0.497,118.069,2017,Israel,English,Pop,Male,1,5,0,0,3.0,1,0,1,0,1,0,0,0,0,1
Sing It Away,Sandhja,0.652,0.898,7,-4.554,0,0.0773,0.00473,0.0269,0.152,0.576,126.027,2016,Finland,English,Pop,Female,1,0,5,0,15.0,1,0,0,1,1,0,0,0,0,0
Utopian Land,Various Artists,0.721,0.957,0,-5.425,0,0.108,2.48e-05,0.907,0.0659,0.515,128.01,2016,Greece,"English,ï¿½Greek3",Pop,Mix,4,0,0,2,16.0,0,1,0,0,1,0,0,0,0,0
Falling Stars,Stick Figure,0.753,0.666,8,-7.981,1,0.0329,0.652,0.472,0.123,0.688,141.007,2016,Moldova,English,Pop,Female,1,1,0,0,17.0,1,0,0,1,1,0,0,0,0,0
Pioneer,Upchurch,0.692,0.728,11,-7.398,0,0.0384,0.019,0.0,0.351,0.422,160.98,2016,Hungary,English,Pop,Male,1,0,3,1,4.0,1,0,1,0,1,0,0,0,0,1
Lighthouse,Kelly Clarkson,0.634,0.341,5,-5.614,1,0.0257,0.66,0.0,0.18,0.204,77.976,2016,Croatia,English,Pop,Female,1,0,4,0,10.0,1,0,0,1,1,0,0,0,0,1
Slow Down,Selena Gomez,0.722,0.821,1,-3.856,0,0.165,0.073,0.0,0.631,0.721,127.944,2016,Netherlands,English,Pop,Male,1,0,0,5,5.0,1,0,1,0,1,0,0,0,0,1
LoveWave,Gagan Lally,0.838,0.504,9,-8.117,1,0.0628,0.0898,0.0,0.0887,0.855,116.919,2016,Armenia,English,Pop,Female,1,0,0,0,2.0,1,0,0,1,1,0,0,0,0,1
I Didn't Know,Sofia Carson,0.385,0.265,6,-9.02,0,0.0809,0.291,0.0,0.135,0.285,82.744,2016,San Marino,English,Pop,Male,1,0,5,0,12.0,1,0,1,0,1,0,0,0,0,0
You Are the Only One,"Kirk Franklin, Gods Property",0.546,0.911,11,-6.134,0,0.248,0.14,0.0,0.938,0.747,180.207,2016,Russia,English,Pop,Male,1,0,0,0,1.0,1,0,1,0,1,0,0,0,0,1
I Stand,Godsmack,0.217,0.92,8,-4.479,1,0.0628,2.86e-05,0.0,0.102,0.376,167.169,2016,Czech Republic,English,Pop,Female,1,0,0,0,9.0,1,0,0,1,1,0,0,0,0,1
Alter Ego,Vivid BAD SQUAD,0.633,0.942,0,-3.853,1,0.101,0.315,0.0,0.306,0.805,175.96,2016,Cyprus,English,Rock,Male,1,0,0,4,8.0,1,0,1,0,0,1,0,0,0,1
Loin d'ici,Zamdane,0.807,0.67,8,-5.863,0,0.107,0.554,0.0,0.19,0.526,119.966,2016,Austria,French,Pop,Female,1,0,0,0,7.0,0,0,0,1,1,0,0,0,0,1
Play,Daniel Garcia,0.819,0.635,6,-6.367,0,0.0333,0.78,0.0,0.193,0.949,121.989,2016,Estonia,English,Pop,Male,1,0,0,0,18.0,1,0,1,0,1,0,0,0,0,0
Miracle,"Calvin Harris, Ellie Goulding",0.636,0.869,9,-5.289,1,0.0412,0.0378,0.0446,0.0808,0.306,143.011,2016,Azerbaijan,English,Pop,Female,1,0,4,0,6.0,1,0,0,1,1,0,0,0,0,1
The Real Thing,Bitty McLean,0.692,0.615,4,-9.243,0,0.0618,0.0129,0.000217,0.127,0.521,81.427,2016,Montenegro,English,Pop,Male,1,1,1,2,13.0,1,0,1,0,1,0,0,0,0,0
Hear Them Calling,Greta Salóme,0.451,0.539,5,-12.399,1,0.0509,0.0338,0.0,0.202,0.31,134.192,2016,Iceland,English,Pop,Female,1,0,0,0,14.0,1,0,0,1,1,0,0,0,0,0
Ljubav je,"Dalal Midhat, Deen",0.304,0.73,3,-5.63,1,0.115,0.343,0.0,0.0895,0.478,83.531,2016,Bosnia and Herzegovina,Bosnian,Pop,Mix,3,0,0,1,11.0,0,0,0,0,1,0,0,0,0,0
Walk on Water,Eminem,0.483,0.439,9,-10.212,0,0.238,0.805,0.0,0.637,0.618,81.986,2016,Malta,English,Pop,Female,1,1,0,0,3.0,1,0,0,1,1,0,0,0,0,1
Heartbeat,Childish Gambino,0.8,0.545,1,-7.002,0,0.127,0.00369,0.000461,0.0445,0.294,119.954,2016,Latvia,English,Pop,Male,1,0,0,0,8.0,1,0,1,0,1,0,0,0,0,1
Color of Your Life,Michał Szpak,0.489,0.673,9,-4.924,0,0.0281,0.0884,0.0,0.0831,0.252,83.004,2016,Poland,English,Pop,Male,1,0,0,4,6.0,1,0,1,0,1,0,0,0,0,1
The Last of Our Kind,Before You Fall,0.236,0.944,8,-4.242,1,0.0901,7.92e-05,2.16e-05,0.0987,0.146,180.02,2016,Switzerland,English,Pop,Female,1,0,0,0,18.0,1,0,0,1,1,0,0,0,0,0
Made of Stars,Refuzion,0.424,0.829,0,-5.505,1,0.0419,0.000669,0.0,0.123,0.161,154.944,2016,Israel,English,Ballad,Male,1,2,0,0,7.0,1,0,1,0,0,0,1,0,0,1
Help You Fly,Ivan,0.487,0.762,2,-6.095,0,0.0305,0.000624,2.43e-06,0.149,0.295,93.044,2016,Belarus,English,Pop,Male,1,0,0,0,12.0,1,0,1,0,1,0,0,0,0,0
Goodbye (Shelter),King Shelter,0.607,0.775,5,-5.564,1,0.0279,0.0219,0.0117,0.16,0.425,125.468,2016,Serbia,English,Pop,Female,1,1,4,0,10.0,1,0,0,1,1,0,0,0,0,1
Sunlight,Hozier,0.464,0.559,7,-4.209,0,0.0287,0.368,0.000176,0.106,0.368,115.349,2016,Ireland,English,Pop,Male,1,0,0,3,15.0,1,0,1,0,1,0,0,0,0,0
Dona,Mac Miller,0.716,0.936,1,-4.968,0,0.123,0.0318,0.0,0.367,0.799,81.508,2016,North Macedonia,Macedonian,Ballad,Female,1,0,4,1,11.0,0,0,0,1,0,0,1,0,0,0
I've Been Waiting for This Night,Donny Montell,0.48,0.775,9,-6.302,1,0.0353,0.00453,0.0,0.309,0.609,134.069,2016,Lithuania,English,Ballad,Male,1,0,0,0,4.0,1,0,1,0,0,0,1,0,0,1
Sound of Silence,Disturbed,0.322,0.28,6,-9.367,0,0.0281,0.468,1.1e-06,0.102,0.175,85.794,2016,Australia,English,Pop,Female,1,0,0,0,1.0,1,0,0,1,1,0,0,0,0,1
Blue and Red,Adrianne Lenker,0.622,0.303,4,-10.552,1,0.0286,0.961,0.00534,0.104,0.247,110.334,2016,Slovenia,English,Pop,Female,1,1,0,0,14.0,1,0,0,1,1,0,0,0,0,0
If Love Was a Crime,Poli Genova,0.613,0.834,0,-5.164,1,0.0327,0.0211,0.0,0.225,0.524,110.069,2016,Bulgaria,"English,ï¿½Bulgarian",Dance,Female,1,0,0,0,5.0,0,1,0,1,0,0,0,0,1,1
Soldiers of Love,#LikeMe Cast,0.423,0.675,0,-8.449,0,0.0854,0.269,0.0,0.121,0.51,71.736,2016,Denmark,English,Pop,Male,3,0,0,0,17.0,1,0,1,0,1,0,0,0,0,0
1944,Jamala,0.809,0.506,3,-5.235,1,0.0565,0.596,0.00728,0.24,0.47,120.012,2016,Ukraine,"English,ï¿½Crimean Tatar",Pop,Female,1,0,0,0,2.0,0,1,0,1,1,0,0,0,0,1
Icebreaker,RetroSpecter,0.284,0.933,5,-6.852,0,0.166,0.00122,0.675,0.317,0.309,175.259,2016,Norway,English,Dance,Female,1,1,0,0,13.0,1,0,0,1,0,0,0,0,1,0
Midnight Gold,The Midnight,0.469,0.43,7,-13.577,1,0.0574,0.461,0.265,0.108,0.36,79.949,2016,Georgia,English,Rock,Male,1,0,0,3,9.0,1,0,1,0,0,1,0,0,0,1
Fairytale,Alexander Rybak,0.573,0.784,2,-5.359,0,0.0293,0.61,3.89e-05,0.278,0.655,107.991,2016,Albania,English,Pop,Female,1,0,3,0,16.0,1,0,0,1,1,0,0,0,0,0
What's the Pressure,Laura Tesoro,0.749,0.811,11,-2.626,1,0.099,0.0228,0.0,0.0696,0.762,117.01,2016,Belgium,English,Pop,Female,1,0,4,0,3.0,1,0,0,1,1,0,0,0,0,1
I Want Your Love,CHIC,0.699,0.604,9,-13.404,0,0.0359,0.0185,0.073,0.0868,0.96,114.226,2015,Moldova,English,Pop,Male,1,3,2,0,11.0,1,0,1,0,1,0,0,0,0,0
Face the Shadow,"Bear McCreary, Sparks & Shadows",0.331,0.317,0,-13.318,1,0.0312,0.697,0.929,0.113,0.0458,89.917,2015,Armenia,English,Pop,Mix,6,0,0,0,7.0,1,0,0,0,1,0,0,0,0,1
Rhythm Inside,Calum Scott,0.592,0.622,2,-5.583,0,0.0362,0.0158,3.85e-06,0.218,0.155,120.508,2015,Belgium,English,Pop,Male,1,0,5,0,2.0,1,0,1,0,1,0,0,0,0,1
